Country,population
Åland Islands,30129
Afghanistan,43372950
Albania,2740502
Algeria,46278751
American Samoa,43544
Andorra,80341
Angola,37804634
Anguilla,15753
Antarctica,5100
Antigua & Barbuda,94816
Argentina,46936024
Armenia,2777979
Aruba,106177
Australia,26889126
Austria,9144349
Azerbaijan,10162521
Bahamas,415223
Bahrain,1498712
Bangladesh,174701211
Barbados,282309
Belarus,9139221
Belgium,11851030
Belize,416656
Benin,14080072
Bermuda,63913
Bhutan,792382
Bolivia,12567336
Bosnia & Herzegovina,3194378
Botswana,2719694
Bouvet Island,6
Brazil,217637297
British Indian Ocean Territory,3000
British Virgin Islands,31763
Brunei,455858
Bulgaria,6378654
Burkina Faso,23840247
Burundi,13591657
Côte d’Ivoire,29603302
Cambodia,17121847
Cameroon,29394433
Canada,40409176
Cape Verde,604461
Caribbean Netherlands,27726
Cayman Islands,69885
Central African Republic,5915627
Chad,18847148
Chile,19658839
China,1410132224
Christmas Island,1692
Cocos (Keeling) Islands,593
Colombia,52340774
Comoros,867605
Congo - Brazzaville,6244547
Congo - Kinshasa,105625114
Cook Islands,15040
Costa Rica,5246714
Croatia,3831518
Cuba,11174587
Curaçao,148613
Cyprus,1268467
Czechia,10878823
Denmark,5972149
Djibouti,1152329
Dominica,73368
Dominican Republic,11434005
Ecuador,18377367
Egypt,114484252
El Salvador,6396289
Equatorial Guinea,1754993
Eritrea,3817651
Estonia,1361835
Eswatini,1222075
Ethiopia,129719719
Falkland Islands (Islas Malvinas),3662
Faroe Islands,53444
Fiji,943072
Finland,5586664
France,68288544
French Guiana,295385
French Polynesia,311383
French Southern Territories,800
Gabon,2484557
Gambia,2841803
Georgia,3753368
Germany,84378888
Ghana,34777522
Gibraltar,32718
Greece,10319099
Greenland,56583
Grenada,126887
Guadeloupe,378561
Guam,174114
Guatemala,17869564
Guernsey,63950
Guinea,14528770
Guinea-Bissau,2197149
Guyana,819594
Haiti,11867030
Heard & McDonald Islands,0
Honduras,10759406
Hong Kong,7538601
Hungary,9449423
Iceland,395990
India,1441719852
Indonesia,279798049
Iran,89809781
Iraq,46523657
Ireland,5294808
Isle of Man,84904
Israel,9900172
Italy,58561164
Jamaica,2824738
Japan,123763600
Jersey,103267
Jordan,11384922
Kazakhstan,20138360
Kenya,56203030
Kiribati,135763
Kosovo,1760466
Kuwait,4349380
Kyrgyzstan,7212168
Laos,7736681
Latvia,1861411
Lebanon,5219044
Lesotho,2356083
Liberia,5536949
Libya,6964197
Liechtenstein,39822
Lithuania,2845566
Luxembourg,675135
Macao,713082
Madagascar,31056610
Malawi,21475962
Malaysia,34671895
Maldives,517887
Mali,24015789
Malta,554617
Marshall Islands,42415
Martinique,349925
Mauritania,4993922
Mauritius,1262292
Mayotte,320901
Mexico,129388467
Micronesia,116300
Moldova,2397965
Monaco,36157
Mongolia,3493629
Montenegro,615708
Montserrat,4390
Morocco,38211459
Mozambique,34858402
Myanmar (Burma),54964694
Namibia,2645805
Nauru,12884
Nepal,31240315
Netherlands,17924550
New Caledonia,270565
New Zealand,5262079
Nicaragua,7142529
Niger,28238972
Nigeria,229152217
Niue,1937
Norfolk Island,2188
North Korea,26244582
North Macedonia,1811631
Northern Mariana Islands,50025
Norway,5558215
Oman,4713553
Pakistan,245209815
Palau,18051
Palestine,5483450
Panama,4527961
Papua New Guinea,10515788
Paraguay,6947270
Peru,34683444
Philippines,119106224
Pitcairn Islands,35
Poland,35992900
Portugal,10497224
Puerto Rico,3211671
Qatar,2737061
Réunion,885700
Romania,18837662
Russia,143376832
Rwanda,14414910
São Tomé & Príncipe,
Samoa,228966
San Marino,33614
Saudi Arabia,37473929
Senegal,18221567
Serbia,6579187
Seychelles,120483
Sierra Leone,8977972
Singapore,5953785
Sint Maarten,42938
Slovakia,5347487
Slovenia,2119415
Solomon Islands,756673
Somalia,18706922
South Africa,61020221
South Georgia & South Sandwich Islands,0
South Korea,51630832
South Sudan,11277092
Spain,48318580
Sri Lanka,22089812
St. Barthélemy,10967
St. Helena,4439
St. Kitts & Nevis,47847
St. Lucia,180805
St. Martin,42938
St. Pierre & Miquelon,6008
St. Vincent & Grenadines,103683
Sudan,49358228
Suriname,628785
Svalbard & Jan Mayen,0
Sweden,10592565
Switzerland,8900261
Syria,24348053
Türkiye,85756376
Taiwan,23894394
Tajikistan,10331513
Tanzania,69419073
Thailand,71885799
Timor-Leste,1379883
Togo,9260864
Tokelau,1499
Tonga,108683
Trinidad & Tobago,1538200
Tunisia,12564689
Turkmenistan,6598071
Turks & Caicos Islands,46431
Tuvalu,11478
U.S. Outlying Islands,300
U.S. Virgin Islands,104181
Uganda,49924252
Ukraine,38013272
United Arab Emirates,9591853
United Kingdom,68556800
United States,336610656
Uruguay,3423316
Uzbekistan,36936168
Vanuatu,342325
Vatican City,764
Venezuela,29395334
Vietnam,99497680
Wallis & Futuna,11151
Western Sahara,565581
Yemen,35219853
Zambia,21134695
Zimbabwe,17020321
